1	Nagtegaal_2019|A|1016	Quality improvement and community health worker strategies; not a nudge intervention.
2	Nagtegaal_2019|A|1192	Prospective cohort study on sepsis bundle compliance, not an experiment comparing interventions.
3	Nagtegaal_2019|A|1259	
4	Nagtegaal_2019|A|1615	Sigmoidoscopy screening feasibility study targeting general population compliance; not nudges on healthcare professionals.
5	Nagtegaal_2019|A|1627	Cochrane protocol on conditional plans for health behaviour, not a completed experiment on nudges.
6	Nagtegaal_2019|A|1633	Compares web vs print guideline self-study; educational intervention, not a nudge.
7	Nagtegaal_2019|A|1805	No abstract available; cannot confirm nudge experiment on evidence-based medicine.
8	Nagtegaal_2019|A|1851	Theoretical discussion of patient safety practices implementation; not a nudge experiment.
9	Nagtegaal_2019|A|1859	Program implementation of CPGs; unclear if nudge experiment with comparison of interventions.
10	Nagtegaal_2019|A|2019	
11	Nagtegaal_2019|A|456	Cost consequences of CDSS for lab tests; economic evaluation, not a nudge experiment on behaviour.
12	Nagtegaal_2019|A|520	Program implementation for VTE prophylaxis; not clearly a nudge experiment with comparison of interventions.
13	Nagtegaal_2019|A|526	About allocation instrument for hospital-level intervention, not nudges targeting professional behaviour.
14	Nagtegaal_2019|A|822	Targets healthy women/patients, not healthcare professionals; about trial participation framing, not EBM.
15	Nagtegaal_2019|A|952	Quality improvement learning collaborative for asthma; not a nudge per taxonomy.
16	Nagtegaal_2019|B|1013	Tests academic detailing and CDSS on prescribing, but these are not nudges per soft-steering taxonomy.
17	Nagtegaal_2019|B|1016	Quality improvement and community health worker strategies; not a nudge intervention.
18	Nagtegaal_2019|B|1032	Guideline adherence trial for beta-blockers; interventions not classified as nudges.
19	Nagtegaal_2019|B|1406	Evaluation of a research lead post; not a nudge experiment with intervention comparison.
20	Nagtegaal_2019|B|164	RCT on EMR intervention for GERD quality of care, but no evidence of nudge taxonomy-based intervention.
21	Nagtegaal_2019|B|1904	About translating appropriateness criteria into guidelines using decision tables; not a nudge experiment.
22	Nagtegaal_2019|B|414	CME educational intervention comparison; education, not nudge-based soft steering.
23	Nagtegaal_2019|B|435	Computerized decision support is not a nudge per taxonomy; it's a decision support system.
24	Nagtegaal_2019|B|436	Computerized decision support intervention; CDSS is not a nudge per taxonomy.
25	Nagtegaal_2019|B|525	Development of a complex intervention, not an experiment testing nudges; no comparison of interventions reported.
26	Nagtegaal_2019|B|658	Physical therapy effectiveness for neck pain patients, not nudges targeting healthcare professionals.
27	Nagtegaal_2019|B|692	Computerized antimicrobial approval system is a hard restriction/approval mechanism, not a soft nudge; unclear experiment comparison.
28	Nagtegaal_2019|B|698	Prospective study of electronic reminder system; not framed as nudge experiment.
29	Nagtegaal_2019|B|925	Payment system incentives experiment; financial incentives, not soft nudges.
30	Nagtegaal_2019|B|999	Opinion leader intervention, not a nudge per taxonomy; multicomponent intervention study.
31	van_de_Schoot_2017|A|1208	Latent profile analysis of PTSD symptoms and personality traits, not longitudinal trajectory clustering.
32	van_de_Schoot_2017|A|1831	Longitudinal PTSD symptom analysis but uses confirmatory factor/correlation, not LGMM/LCGA clustering.
33	van_de_Schoot_2017|A|1888	Neurohormone study, cross-sectional, no trajectory clustering method.
34	van_de_Schoot_2017|A|2020	Focuses on PTSD symptom clusters and quality of life, no clustering method for trajectories mentioned.
35	van_de_Schoot_2017|A|2352	Distress trajectories after breast cancer diagnosis; not PTSD symptoms following DSM-IV A1 trauma.
36	van_de_Schoot_2017|A|2803	Cross-sectional comparison of PTSD symptom profiles across trauma types, no longitudinal trajectories.
37	van_de_Schoot_2017|A|3056	Two-wave prospective design, fewer than three measurement waves; no clustering method mentioned.
38	van_de_Schoot_2017|A|322	Latent class analysis of alcohol dependence subtypes, not PTSD trajectories after trauma.
