1	Nagtegaal_2019|A|1016	FN-DEF
2	Nagtegaal_2019|A|1192	FN-DESIGN
3	Nagtegaal_2019|A|1259	FN-OTHER
4	Nagtegaal_2019|A|1615	FN-POP
5	Nagtegaal_2019|A|1627	FN-DESIGN
6	Nagtegaal_2019|A|1633	FN-DEF
7	Nagtegaal_2019|A|1805	FN-ABS
8	Nagtegaal_2019|A|1851	FN-DESIGN
9	Nagtegaal_2019|A|1859	FN-DEF
10	Nagtegaal_2019|A|2019	FN-OTHER
11	Nagtegaal_2019|A|456	FN-DESIGN
12	Nagtegaal_2019|A|520	FN-DEF
13	Nagtegaal_2019|A|526	FN-DEF
14	Nagtegaal_2019|A|822	FN-POP
15	Nagtegaal_2019|A|952	FN-DEF
16	Nagtegaal_2019|B|1013	FN-DEF
17	Nagtegaal_2019|B|1016	FN-DEF
18	Nagtegaal_2019|B|1032	FN-DEF
19	Nagtegaal_2019|B|1406	FN-DEF
20	Nagtegaal_2019|B|164	FN-DEF
21	Nagtegaal_2019|B|1904	FN-DEF
22	Nagtegaal_2019|B|414	FN-DEF
23	Nagtegaal_2019|B|435	FN-DEF
24	Nagtegaal_2019|B|436	FN-DEF
25	Nagtegaal_2019|B|525	FN-DESIGN
26	Nagtegaal_2019|B|658	FN-POP
27	Nagtegaal_2019|B|692	FN-DEF
28	Nagtegaal_2019|B|698	FN-DEF
29	Nagtegaal_2019|B|925	FN-DEF
30	Nagtegaal_2019|B|999	FN-DEF
31	van_de_Schoot_2017|A|1208	FN-DEF
32	van_de_Schoot_2017|A|1831	FN-DEF
33	van_de_Schoot_2017|A|1888	FN-DESIGN
34	van_de_Schoot_2017|A|2020	FN-DEF
35	van_de_Schoot_2017|A|2352	FN-POP
36	van_de_Schoot_2017|A|2803	FN-DESIGN
37	van_de_Schoot_2017|A|3056	FN-DESIGN
38	van_de_Schoot_2017|A|322	FN-POP
39	van_de_Schoot_2017|A|3336	FN-DESIGN
40	van_de_Schoot_2017|A|3558	FN-DEF
41	van_de_Schoot_2017|A|3567	FN-DEF
42	van_de_Schoot_2017|A|3692	FN-POP
43	van_de_Schoot_2017|A|4089	FN-POP
44	van_de_Schoot_2017|A|4734	FN-POP
45	van_de_Schoot_2017|A|719	FN-DESIGN
46	van_de_Schoot_2017|B|1691	FN-OTHER
47	van_de_Schoot_2017|B|1705	FN-DESIGN
48	van_de_Schoot_2017|B|1745	FN-DESIGN
49	van_de_Schoot_2017|B|1746	FN-DESIGN
50	van_de_Schoot_2017|B|1761	FN-DEF
51	van_de_Schoot_2017|B|1840	FN-DESIGN
52	van_de_Schoot_2017|B|2410	FN-DESIGN
53	van_de_Schoot_2017|B|2437	FN-DESIGN
54	van_de_Schoot_2017|B|2516	FN-DEF
55	van_de_Schoot_2017|B|3226	FN-DESIGN
56	van_de_Schoot_2017|B|327	FN-DESIGN
57	van_de_Schoot_2017|B|3557	FN-DEF
58	van_de_Schoot_2017|B|4305	FN-DESIGN
59	van_de_Schoot_2017|B|5569	FN-DESIGN
60	van_de_Schoot_2017|B|557	FN-DEF
61	Smid_2020|A|18	FN-ABS
62	Smid_2020|A|2	FN-ABS
63	Smid_2020|A|22	FN-ABS
64	Smid_2020|A|23	FN-DEF
65	Smid_2020|A|25	FN-DEF
66	Smid_2020|A|9	FN-DEF
67	Smid_2020|B|18	FN-ABS
68	Smid_2020|B|2	FN-ABS
69	Smid_2020|B|22	FN-DEF
70	Smid_2020|B|23	FN-DEF
71	Smid_2020|B|25	FN-DEF
72	Smid_2020|B|6	FN-DESIGN
73	Smid_2020|B|9	FN-DEF
