ann_id,item_id,construction_category,expected_label,built_at
ann-01,hss-wrong_paper-01,wrong_paper,unsupported,2026-09-07T16:34:13+00:00
ann-02,hss-paraphrase-07,paraphrase,verified,2026-09-07T16:34:13+00:00
ann-03,hss-altered-04,altered,unsupported,2026-09-07T16:34:13+00:00
ann-04,hss-paraphrase-08,paraphrase,verified,2026-09-07T16:34:13+00:00
ann-05,hss-verbatim-08,verbatim,verified,2026-09-07T16:34:13+00:00
ann-06,hss-no_full_text-04,no_full_text,no_full_text,2026-09-07T16:34:13+00:00
ann-07,hss-altered-06,altered,unsupported,2026-09-07T16:34:13+00:00
ann-08,hss-no_full_text-03,no_full_text,no_full_text,2026-09-07T16:34:13+00:00
ann-09,hss-altered-16,altered,unsupported,2026-09-07T16:34:13+00:00
ann-10,hss-altered-12,altered,unsupported,2026-09-07T16:34:13+00:00
ann-11,hss-altered-13,altered,unsupported,2026-09-07T16:34:13+00:00
ann-12,hss-altered-11,altered,unsupported,2026-09-07T16:34:13+00:00
ann-13,hss-paraphrase-02,paraphrase,verified,2026-09-07T16:34:13+00:00
ann-14,hss-wrong_paper-04,wrong_paper,unsupported,2026-09-07T16:34:13+00:00
ann-15,hss-no_full_text-07,no_full_text,no_full_text,2026-09-07T16:34:13+00:00
ann-16,hss-altered-02,altered,unsupported,2026-09-07T16:34:13+00:00
ann-17,hss-altered-08,altered,unsupported,2026-09-07T16:34:13+00:00
ann-18,hss-wrong_paper-07,wrong_paper,unsupported,2026-09-07T16:34:13+00:00
ann-19,hss-paraphrase-04,paraphrase,verified,2026-09-07T16:34:13+00:00
ann-20,hss-over_specified-10,over_specified,needs_nuance,2026-09-07T16:34:13+00:00
ann-21,hss-over_specified-05,over_specified,needs_nuance,2026-09-07T16:34:13+00:00
ann-22,hss-altered-18,altered,unsupported,2026-09-07T16:34:13+00:00
ann-23,hss-no_full_text-06,no_full_text,no_full_text,2026-09-07T16:34:13+00:00
ann-24,hss-verbatim-02,verbatim,verified,2026-09-07T16:34:13+00:00
ann-25,hss-over_specified-02,over_specified,needs_nuance,2026-09-07T16:34:13+00:00
ann-26,hss-verbatim-07,verbatim,verified,2026-09-07T16:34:13+00:00
ann-27,hss-verbatim-05,verbatim,verified,2026-09-07T16:34:13+00:00
ann-28,hss-altered-05,altered,unsupported,2026-09-07T16:34:13+00:00
ann-29,hss-paraphrase-05,paraphrase,verified,2026-09-07T16:34:13+00:00
ann-30,hss-over_specified-03,over_specified,needs_nuance,2026-09-07T16:34:13+00:00
ann-31,hss-over_specified-04,over_specified,needs_nuance,2026-09-07T16:34:13+00:00
ann-32,hss-paraphrase-06,paraphrase,verified,2026-09-07T16:34:13+00:00
ann-33,hss-no_full_text-08,no_full_text,no_full_text,2026-09-07T16:34:13+00:00
ann-34,hss-altered-17,altered,unsupported,2026-09-07T16:34:13+00:00
ann-35,hss-paraphrase-01,paraphrase,verified,2026-09-07T16:34:13+00:00
ann-36,hss-altered-01,altered,unsupported,2026-09-07T16:34:13+00:00
ann-37,hss-over_specified-06,over_specified,needs_nuance,2026-09-07T16:34:13+00:00
ann-38,hss-verbatim-06,verbatim,verified,2026-09-07T16:34:13+00:00
ann-39,hss-altered-03,altered,unsupported,2026-09-07T16:34:13+00:00
ann-40,hss-altered-09,altered,unsupported,2026-09-07T16:34:13+00:00
ann-41,hss-over_specified-09,over_specified,needs_nuance,2026-09-07T16:34:13+00:00
ann-42,hss-over_specified-08,over_specified,needs_nuance,2026-09-07T16:34:13+00:00
ann-43,hss-wrong_paper-06,wrong_paper,unsupported,2026-09-07T16:34:13+00:00
ann-44,hss-verbatim-04,verbatim,verified,2026-09-07T16:34:13+00:00
ann-45,hss-wrong_paper-03,wrong_paper,unsupported,2026-09-07T16:34:13+00:00
ann-46,hss-wrong_paper-02,wrong_paper,unsupported,2026-09-07T16:34:13+00:00
ann-47,hss-wrong_paper-08,wrong_paper,unsupported,2026-09-07T16:34:13+00:00
ann-48,hss-paraphrase-03,paraphrase,verified,2026-09-07T16:34:13+00:00
ann-49,hss-altered-07,altered,unsupported,2026-09-07T16:34:13+00:00
ann-50,hss-altered-14,altered,unsupported,2026-09-07T16:34:13+00:00
ann-51,hss-no_full_text-02,no_full_text,no_full_text,2026-09-07T16:34:13+00:00
ann-52,hss-altered-10,altered,unsupported,2026-09-07T16:34:13+00:00
ann-53,hss-no_full_text-01,no_full_text,no_full_text,2026-09-07T16:34:13+00:00
ann-54,hss-over_specified-07,over_specified,needs_nuance,2026-09-07T16:34:13+00:00
ann-55,hss-over_specified-01,over_specified,needs_nuance,2026-09-07T16:34:13+00:00
ann-56,hss-wrong_paper-05,wrong_paper,unsupported,2026-09-07T16:34:13+00:00
ann-57,hss-altered-15,altered,unsupported,2026-09-07T16:34:13+00:00
ann-58,hss-verbatim-03,verbatim,verified,2026-09-07T16:34:13+00:00
ann-59,hss-verbatim-01,verbatim,verified,2026-09-07T16:34:13+00:00
ann-60,hss-no_full_text-05,no_full_text,no_full_text,2026-09-07T16:34:13+00:00
