dataset,run,record_id,title,reason,category,notes
van_de_Schoot_2017,A,5409,The coherence and correlates of intermittent explosive disorder amongst West Papuan refugees displaced to Papua New Guinea,"Cross-sectional study of intermittent explosive disorder in refugees, not PTSD trajectory clustering.",FN-POP,
van_de_Schoot_2017,A,3056,"Hurricane-related exposure experiences and stressors, other life events, and social support: concurrent and prospective impact on children's persistent posttraumatic stress symptoms","Two-wave prospective design, fewer than three measurement waves; no clustering method mentioned.",FN-DESIGN,
van_de_Schoot_2017,A,5891,Social relationships and PTSD symptomatology in combat veterans,"Cross-sectional factor analysis of social support and PTSD, no longitudinal trajectory clustering.",FN-DESIGN,
van_de_Schoot_2017,A,4377,Typology of posttraumatic stress disorder in children and adolescents,"Clinical typology of PTSD variants, not a longitudinal trajectory clustering study using LGMM/LCGA.",FN-DEF,
van_de_Schoot_2017,A,3403,Resilience and other reactions to military deployment: The complex task of identifying distinct adjustment trajectories,No abstract; title suggests military deployment adjustment trajectories but no evidence of LGMM/clustering method.,FN-ABS,
van_de_Schoot_2017,A,168,Polyvictimization: Latent profiles and mental health outcomes in a clinical sample of adolescents,"Cross-sectional latent profile analysis of trauma exposure, not longitudinal PTSD trajectory clustering.",FN-DESIGN,
van_de_Schoot_2017,A,3468,Profiles of Adaptation Among Child Victims of Suspected Maltreatment,Profiles of adaptation in maltreated children; not PTSD trajectories following criterion A1 traumatic event.,FN-POP,
van_de_Schoot_2017,A,2000,Sleep problems among adolescent survivors following the 2008 wenchuan earthquake in China: A cohort study,Cohort study of sleep problems after earthquake; no clustering method for PTSD trajectories mentioned.,FN-DEF,
van_de_Schoot_2017,A,6165,Posttraumatic stress disorder and other psychological sequelae among World Trade Center clean up and recovery workers,No abstract; title suggests PTSD in WTC workers but no evidence of trajectory clustering method.,FN-ABS,
van_de_Schoot_2017,A,2049,Trajectories of posttraumatic stress disorder following myocardial infarction: a prospective study,"MI patients examined only twice; fewer than three waves, no clustering method mentioned.",FN-DESIGN,
van_de_Schoot_2017,A,4815,Longitudinal Study of Headache Trajectories in the Year After Mild Traumatic Brain Injury: Relation to Posttraumatic Stress Disorder Symptoms,"Focus on headache trajectories after MTBI, not PTSD trajectory clustering per se.",FN-POP,
van_de_Schoot_2017,A,5569,"A preliminary examination of the relationships between posttraumatic stress symptoms and crack/cocaine, heroin, and alcohol dependence",Cross-sectional examination of PTS-substance relationships; no longitudinal clustering method.,FN-DESIGN,
van_de_Schoot_2017,A,3539,Longitudinal Examination of PTSD Symptoms and Problematic Alcohol Use as Risk Factors for Adolescent Victimization,Examines PTSD symptoms and alcohol use as risk factors for victimization; no trajectory clustering method.,FN-DEF,
van_de_Schoot_2017,A,1628,Content not quantity is a better measure of muscle degeneration in whiplash,Whiplash muscle degeneration study; not PTSD trajectory clustering after traumatic event.,FN-POP,
van_de_Schoot_2017,A,4249,Predictors of the long-term course of comorbid PTSD: a naturalistic prospective study,"Naturalistic prospective study using Kaplan-Meier, no LGMM/LCGA/hierarchical clustering.",FN-DEF,
van_de_Schoot_2017,A,1834,Psychometric status and clinical utility of the MAYSI-2 with girls and boys in juvenile detention,"MAYSI-2 psychometric study in juvenile detention, not PTSD trajectories with clustering.",FN-POP,
van_de_Schoot_2017,A,2660,Post-combat syndromes from the boer war to the Gulf war: A cluster analysis of their nature and attribution,"Cluster analysis of post-combat syndromes across wars, not longitudinal PTSD trajectory modelling.",FN-DEF,
